Year,Month,Date,EDC,EGS_Average,EGS_Median,PTC_Average,PTC_Median,PJM_RT_Average,PJM_RT_Median
2017,8,2017-08-01,DUQ,11.333685294117647,11.093,9.843,9.843,3.5749,3.0888
2017,8,2017-08-01,PECO,10.864445454545454,10.4397,9.286,9.286,3.1659,2.8209
2017,8,2017-08-01,PPL,11.213553389830508,10.9624,9.891,9.891,3.1254,2.7831
2017,9,2017-09-01,DUQ,11.154971014492753,10.80065,9.7912,9.7912,4.0538,2.9881
2017,9,2017-09-01,PECO,10.773535260115606,10.3717,9.2683,9.2683,2.8737,2.6137
2017,9,2017-09-01,PPL,11.134694262295083,10.8721,9.8389,9.8389,3.365,2.6683
2017,10,2017-10-01,DUQ,11.436506338028169,11.0416,9.8234,9.8234,3.6701,3.3346
2017,10,2017-10-01,PECO,10.890503954802261,10.5084,9.2741,9.2741,2.9964,2.7675
2017,10,2017-10-01,PPL,11.287087301587302,10.9375,9.8451,9.8451,2.8833,2.618
2017,11,2017-11-01,DUQ,11.445028057553957,11.0413,9.8232,9.8232,3.6635,3.2669
2017,11,2017-11-01,PECO,10.9719567251462,10.5991,9.3292,9.3292,3.3553,3.025
2017,11,2017-11-01,PPL,11.292486991869918,10.9113,9.6598,9.6598,3.2656,3.0068
2017,12,2017-12-01,DUQ,11.618105217391305,11.0478,9.855,9.855,4.3072,3.5238
2017,12,2017-12-01,PECO,10.840123841059603,10.3972,9.39,9.39,5.9104,3.5642
2017,12,2017-12-01,PPL,11.199092792792793,10.8526,9.4804,9.4804,5.7555,3.5486
2018,1,2018-01-01,DUQ,11.552542857142857,10.8715,9.801599999999999,9.8016,8.4461,4.9828
2018,1,2018-01-01,PECO,10.769941891891891,10.1596,9.2356,9.2356,11.3477,5.3102
2018,1,2018-01-01,PPL,11.186813888888889,10.84555,9.4291,9.4291,11.0255,5.2079
2018,2,2018-02-01,DUQ,11.521387272727273,10.861049999999999,9.7573,9.7573,3.3214,3.056
2018,2,2018-02-01,PECO,10.976164748201438,10.423,9.2216,9.2216,3.2081,2.953
2018,2,2018-02-01,PPL,11.163155555555555,10.8353,9.3103,9.3103,3.1269,2.9079
2018,3,2018-03-01,DUQ,11.515146,10.85585,9.7353,9.7353,4.3513,3.5685
2018,3,2018-03-01,PECO,10.941538053097347,10.4123,9.1256,9.1256,3.3422,2.882
2018,3,2018-03-01,PPL,10.990576666666666,10.598700000000001,9.3653,9.3653,3.1494,2.7059
2018,4,2018-04-01,DUQ,11.52109210526316,10.8128,9.6968,9.6968,5.1075,4.0742
2018,4,2018-04-01,PECO,10.761626612903227,10.236699999999999,9.3558,9.3558,4.0742,3.6324
2018,4,2018-04-01,PPL,10.841074,10.48635,9.3282,9.3282,3.9039,3.5313
2018,5,2018-05-01,DUQ,11.435622222222221,10.8254,9.5865,9.5865,5.9202,3.6926
2018,5,2018-05-01,PECO,10.738336923076924,10.258,9.0518,9.0518,3.1558,2.6381
2018,5,2018-05-01,PPL,10.785142718446602,10.5322,9.3591,9.3591,2.9263,2.4443
2018,6,2018-06-01,DUQ,11.482255263157896,10.80185,9.5691,9.5691,3.9388,3.1699
2018,6,2018-06-01,PECO,10.76812109375,10.254449999999999,9.1036,9.1036,3.1928,2.6543
2018,6,2018-06-01,PPL,10.682695145631069,10.299,9.6408,9.6408,3.2157,2.639
2018,7,2018-07-01,DUQ,11.59189224137931,11.0112,9.568499999999998,9.5685,3.9997,3.4777
2018,7,2018-07-01,PECO,10.856131007751939,10.2983,8.912,8.912,3.8023,3.2193
2018,7,2018-07-01,PPL,10.776252336448598,10.4256,9.6402,9.6402,3.7247,3.129
2018,8,2018-08-01,DUQ,11.661418260869565,11.005,9.5631,9.5631,4.1743,3.6056
2018,8,2018-08-01,PECO,11.054716666666666,10.42615,8.8791,8.8791,3.9173,3.4822
2018,8,2018-08-01,PPL,10.867058878504674,10.7379,9.6348,9.6348,3.9275,3.4733
2018,9,2018-09-01,DUQ,11.723755263157894,11.0431,9.552,9.552,4.8188,3.6039
2018,9,2018-09-01,PECO,11.017682539682541,10.6555,8.6502,8.6502,3.4769,2.9774
2018,9,2018-09-01,PPL,10.925072641509434,10.7889,9.623,9.623,3.609,2.9749
2018,10,2018-10-01,DUQ,11.84714054054054,11.3027,8.9263,8.9263,4.5236,3.7041
2018,10,2018-10-01,PECO,11.264242399999999,10.7826,8.635,8.635,3.779,3.3781
2018,10,2018-10-01,PPL,11.167565714285713,11.049,9.5838,9.5838,3.7663,3.3084
2018,11,2018-11-01,DUQ,11.80898108108108,11.3152,8.9563,8.9563,4.8252,4.2855
2018,11,2018-11-01,PECO,11.283972,10.9207,8.664,8.664,4.2613,3.9177
2018,11,2018-11-01,PPL,11.215038095238095,10.8188,9.3984,9.3984,4.2384,3.8579
2018,12,2018-12-01,DUQ,12.1701,11.8622,8.9467,8.9467,4.026,3.7451
2018,12,2018-12-01,PECO,11.551804918032786,11.1089,8.7288,8.7288,3.9571,3.7451
2018,12,2018-12-01,PPL,11.482793269230768,11.3643,9.387,9.387,3.8051,3.5817
2019,1,2019-01-01,DUQ,12.1264752293578,11.6103,8.9297,8.9297,3.7265,3.2473
2019,1,2019-01-01,PECO,11.653533870967742,11.0877,8.7122,8.7122,4.3026,3.3289
2019,1,2019-01-01,PPL,11.542217757009345,11.2407,9.3691,9.3691,3.8259,3.2307
2019,2,2019-02-01,DUQ,11.365217757009347,10.9268,8.8921,8.8921,,
2019,2,2019-02-01,PECO,11.053649166666666,10.6159,8.8373,8.8373,,
2019,2,2019-02-01,PPL,10.981924242424242,10.6476,9.3297,9.3297,,
2019,3,2019-03-01,DUQ,11.008722429906541,10.6636,8.8422,8.8422,,
2019,3,2019-03-01,PECO,10.768476068376067,10.2093,8.967600000000001,8.9676,,
2019,3,2019-03-01,PPL,10.719539175257731,10.2093,8.5101,8.5101,,
2019,4,2019-04-01,DUQ,10.823843636363637,10.5322,8.7956,8.7956,,
2019,4,2019-04-01,PECO,10.512064347826088,10.03,8.6806,8.6806,,
2019,4,2019-04-01,PPL,10.641691666666667,10.143,8.4653,8.4653,,
2019,6,2019-06-01,DUQ,10.718017757009346,10.3824,8.8462,8.8462,,
2019,6,2019-06-01,PECO,10.384755263157896,10.0067,8.4926,8.4926,,
2019,6,2019-06-01,PPL,10.51785,10.03175,8.7875,8.7875,,
2019,7,2019-07-01,DUQ,10.406721495327103,9.865,8.8314,8.8314,,
2019,7,2019-07-01,PECO,10.13974661016949,9.7462,8.4784,8.4784,,
2019,7,2019-07-01,PPL,10.513628260869565,10.015,8.7728,8.7728,,
2019,8,2019-08-01,DUQ,10.171901834862386,9.5904,8.8319,8.8319,,
2019,8,2019-08-01,PECO,9.927702521008404,9.1653,8.5107,8.5107,,
2019,8,2019-08-01,PPL,10.315435869565217,9.559149999999999,8.7733,8.7733,,
2019,9,2019-09-01,DUQ,10.23376261682243,9.7328,8.8249,8.8249,,
2019,9,2019-09-01,PECO,10.07006186440678,9.1706,8.5359,8.5359,,
2019,9,2019-09-01,PPL,10.370646739130436,9.801549999999999,8.767,8.767,,
2019,10,2019-10-01,DUQ,10.22007641509434,9.82905,8.8048,8.8048,,
2019,10,2019-10-01,PECO,10.07956974789916,9.1622,8.5164,8.5164,,
2019,10,2019-10-01,PPL,10.351675268817203,9.9599,8.7464,8.7464,,
2019,11,2019-11-01,DUQ,10.360869811320754,9.9653,8.6162,8.6162,,
2019,11,2019-11-01,PECO,10.251312605042015,9.6036,8.521,8.521,,
2019,11,2019-11-01,PPL,10.46666129032258,10.0526,9.007,9.007,,
2019,12,2019-12-01,DUQ,10.334752336448599,9.6373,8.4306,8.4306,,
2019,12,2019-12-01,PECO,10.295295833333334,9.73095,8.4102,8.4102,,
2019,12,2019-12-01,PPL,10.474040425531914,10.0867,8.5344,8.5344,,
2020,1,2020-01-01,DUQ,10.090723364485982,9.426,8.398,8.398,2.6686,2.497
2020,1,2020-01-01,PECO,10.073508333333333,9.649799999999999,8.3777,8.3777,2.6064,2.4087
