Year,Month,EDC,Average_Signup_Fee,Median_Signup_Fee,Number_of_Offers,Number_of_EGS,date
2020,2,APS,0.0,0.0,124,47,2020-02-01
2020,3,APS,0.0,0.0,167,48,2020-03-01
2020,4,APS,0.0,0.0,154,48,2020-04-01
2020,5,APS,0.0,0.0,167,48,2020-05-01
2020,6,APS,0.0,0.0,153,47,2020-06-01
2020,7,APS,0.0,0.0,138,46,2020-07-01
2020,8,APS,0.0,0.0,139,47,2020-08-01
2020,9,APS,0.0,0.0,145,48,2020-09-01
2020,10,APS,0.0,0.0,164,49,2020-10-01
2020,11,APS,0.0,0.0,177,49,2020-11-01
2020,12,APS,0.0,0.0,154,49,2020-12-01
2021,1,APS,0.0,0.0,168,49,2021-01-01
2021,2,APS,0.0,0.0,157,47,2021-02-01
2021,3,APS,0.0,0.0,170,47,2021-03-01
2021,4,APS,0.0,0.0,140,47,2021-04-01
2021,5,APS,0.0,0.0,164,47,2021-05-01
2021,6,APS,0.0,0.0,173,47,2021-06-01
2021,7,APS,0.0,0.0,143,47,2021-07-01
2022,6,APS,0.0,0.0,74,38,2022-06-01
2025,10,APS,0.0,0.0,111,21,2025-10-01
2019,9,DUQ,74.5,74.5,4,2,2019-09-01
2019,10,DUQ,82.66666666666667,99.0,3,2,2019-10-01
2019,11,DUQ,82.66666666666667,99.0,3,2,2019-11-01
2019,12,DUQ,82.66666666666667,99.0,3,2,2019-12-01
2020,1,DUQ,74.5,74.5,2,2,2020-01-01
2020,2,DUQ,1.1119402985074627,0.0,134,52,2020-02-01
2020,3,DUQ,0.0,0.0,205,53,2020-03-01
2020,4,DUQ,0.0,0.0,170,53,2020-04-01
2020,5,DUQ,0.0,0.0,209,53,2020-05-01
2020,6,DUQ,0.0,0.0,168,53,2020-06-01
2020,7,DUQ,0.0,0.0,157,52,2020-07-01
2020,8,DUQ,0.0,0.0,153,53,2020-08-01
2020,9,DUQ,0.0,0.0,162,54,2020-09-01
2020,10,DUQ,0.0,0.0,190,56,2020-10-01
2020,11,DUQ,0.0,0.0,206,57,2020-11-01
2020,12,DUQ,0.0,0.0,187,56,2020-12-01
2021,1,DUQ,0.0,0.0,183,55,2021-01-01
2021,2,DUQ,0.0,0.0,191,54,2021-02-01
2021,3,DUQ,0.0,0.0,206,54,2021-03-01
2021,4,DUQ,0.0,0.0,172,53,2021-04-01
2021,5,DUQ,0.0,0.0,198,54,2021-05-01
2021,6,DUQ,0.0,0.0,197,52,2021-06-01
2021,7,DUQ,0.0,0.0,177,53,2021-07-01
2022,6,DUQ,0.0,0.0,82,42,2022-06-01
2025,10,DUQ,0.0,0.0,161,23,2025-10-01
2019,9,METED,50.0,50.0,2,1,2019-09-01
2019,10,METED,50.0,50.0,1,1,2019-10-01
2019,11,METED,50.0,50.0,1,1,2019-11-01
2019,12,METED,50.0,50.0,1,1,2019-12-01
2020,1,METED,50.0,50.0,1,1,2020-01-01
2020,2,METED,0.32894736842105265,0.0,152,53,2020-02-01
2020,3,METED,0.0,0.0,222,55,2020-03-01
2020,4,METED,0.0,0.0,188,54,2020-04-01
