Year,Month,EDC,Above,Below,Equal,Total,Share_Above_PTC,Share_Below_PTC,Share_Equal_PTC,PJM_RT_Average,PJM_RT_Median,date
2020,2,APS,1,5,0,6,16.666666666666668,83.33333333333333,0.0,1.9309999999999998,1.8820000000000001,2020-02-01
2020,3,APS,0,9,0,9,0.0,100.0,0.0,1.7920000000000003,1.725,2020-03-01
2020,4,APS,0,14,0,14,0.0,100.0,0.0,1.7920000000000003,1.674,2020-04-01
2020,5,APS,0,12,0,12,0.0,100.0,0.0,1.973,1.6640000000000001,2020-05-01
2020,7,APS,1,13,0,14,7.142857142857143,92.85714285714286,0.0,2.758,2.033,2020-07-01
2020,8,APS,2,7,0,9,22.22222222222222,77.77777777777777,0.0,2.3489999999999998,1.975,2020-08-01
2020,9,APS,8,0,0,8,100.0,0.0,0.0,1.916,1.6789999999999998,2020-09-01
2020,10,APS,11,0,0,11,100.0,0.0,0.0,2.205,1.864,2020-10-01
2020,11,APS,5,7,0,12,41.666666666666664,58.333333333333336,0.0,2.125,1.8829999999999998,2020-11-01
2020,12,APS,5,7,0,12,41.666666666666664,58.333333333333336,0.0,2.533,2.269,2020-12-01
2021,1,APS,7,10,0,17,41.1764705882353,58.8235294117647,0.0,2.471,2.299,2021-01-01
2021,2,APS,5,12,0,17,29.41176470588235,70.58823529411765,0.0,3.8369999999999997,2.933,2021-02-01
2021,3,APS,22,0,0,22,100.0,0.0,0.0,2.541,2.106,2021-03-01
2021,4,APS,22,0,0,22,100.0,0.0,0.0,2.598,2.341,2021-04-01
2021,5,APS,30,0,0,30,100.0,0.0,0.0,2.7969999999999997,2.3920000000000003,2021-05-01
2021,6,APS,9,22,0,31,29.032258064516128,70.96774193548387,0.0,3.2090000000000005,2.5989999999999998,2021-06-01
2021,7,APS,18,0,0,18,100.0,0.0,0.0,3.521,3.1719999999999997,2021-07-01
2020,2,DUQ,4,2,0,6,66.66666666666667,33.333333333333336,0.0,1.9629999999999999,1.888,2020-02-01
2020,3,DUQ,6,4,0,10,60.0,40.0,0.0,1.843,1.734,2020-03-01
2020,4,DUQ,5,9,0,14,35.714285714285715,64.28571428571429,0.0,1.8809999999999998,1.6949999999999998,2020-04-01
2020,5,DUQ,4,10,0,14,28.571428571428573,71.42857142857143,0.0,2.011,1.6800000000000002,2020-05-01
2020,7,DUQ,8,16,0,24,33.333333333333336,66.66666666666667,0.0,2.9379999999999997,2.044,2020-07-01
2020,8,DUQ,7,13,0,20,35.0,65.0,0.0,2.3329999999999997,1.9309999999999998,2020-08-01
2020,9,DUQ,7,13,0,20,35.0,65.0,0.0,1.895,1.6460000000000001,2020-09-01
2020,10,DUQ,6,18,0,24,25.0,75.0,0.0,2.177,1.8510000000000002,2020-10-01
2020,11,DUQ,6,17,0,23,26.08695652173913,73.91304347826087,0.0,2.056,1.839,2020-11-01
2020,12,DUQ,8,13,0,21,38.095238095238095,61.904761904761905,0.0,2.3920000000000003,2.195,2020-12-01
2021,1,DUQ,14,10,0,24,58.333333333333336,41.666666666666664,0.0,2.3899999999999997,2.243,2021-01-01
2021,2,DUQ,18,8,0,26,69.23076923076923,30.76923076923077,0.0,3.6049999999999995,2.779,2021-02-01
2021,3,DUQ,25,10,0,35,71.42857142857143,28.571428571428573,0.0,2.447,2.057,2021-03-01
2021,4,DUQ,22,3,0,25,88.0,12.0,0.0,2.545,2.324,2021-04-01
2021,5,DUQ,32,3,0,35,91.42857142857143,8.571428571428571,0.0,2.709,2.346,2021-05-01
2021,6,DUQ,27,7,0,34,79.41176470588235,20.58823529411765,0.0,3.224,2.534,2021-06-01
2021,7,DUQ,21,4,0,25,84.0,16.0,0.0,3.446,3.13,2021-07-01
2020,2,METED,1,4,0,5,20.0,80.0,0.0,1.8780000000000001,1.807,2020-02-01
2020,3,METED,2,7,0,9,22.22222222222222,77.77777777777777,0.0,1.636,1.587,2020-03-01
2020,4,METED,3,10,0,13,23.076923076923077,76.92307692307692,0.0,1.661,1.5550000000000002,2020-04-01
2020,5,METED,4,11,0,15,26.666666666666668,73.33333333333333,0.0,1.504,1.4,2020-05-01
2020,7,METED,13,7,0,20,65.0,35.0,0.0,2.271,1.8989999999999998,2020-07-01
2020,8,METED,14,5,0,19,73.6842105263158,26.31578947368421,0.0,2.793,1.782,2020-08-01
2020,9,METED,13,4,0,17,76.47058823529412,23.529411764705884,0.0,1.4460000000000002,1.291,2020-09-01
2020,10,METED,15,4,0,19,78.94736842105263,21.05263157894737,0.0,1.6469999999999998,1.371,2020-10-01
2020,11,METED,13,4,0,17,76.47058823529412,23.529411764705884,0.0,2.1879999999999997,1.827,2020-11-01
2020,12,METED,8,8,0,16,50.0,50.0,0.0,2.67,2.089,2020-12-01
2021,1,METED,14,10,0,24,58.333333333333336,41.666666666666664,0.0,2.351,2.075,2021-01-01
2021,2,METED,16,8,0,24,66.66666666666667,33.333333333333336,0.0,3.71,2.8449999999999998,2021-02-01
2021,3,METED,28,2,0,30,93.33333333333333,6.666666666666667,0.0,2.261,1.8510000000000002,2021-03-01
2021,4,METED,29,0,0,29,100.0,0.0,0.0,2.348,1.967,2021-04-01
2021,5,METED,34,0,0,34,100.0,0.0,0.0,2.633,2.214,2021-05-01
2021,6,METED,22,11,0,33,66.66666666666667,33.333333333333336,0.0,2.925,2.338,2021-06-01
2021,7,METED,17,3,0,20,85.0,15.0,0.0,3.5170000000000003,3.009,2021-07-01
2020,2,PENELEC,3,5,0,8,37.5,62.5,0.0,1.8829999999999998,1.846,2020-02-01
2020,3,PENELEC,5,6,0,11,45.45454545454545,54.54545454545455,0.0,1.777,1.668,2020-03-01
2020,4,PENELEC,6,7,0,13,46.15384615384615,53.84615384615385,0.0,1.7079999999999997,1.614,2020-04-01
2020,5,PENELEC,7,8,0,15,46.666666666666664,53.333333333333336,0.0,1.7239999999999998,1.5390000000000001,2020-05-01
2020,7,PENELEC,11,8,0,19,57.89473684210526,42.10526315789474,0.0,2.553,2.0170000000000003,2020-07-01
2020,8,PENELEC,14,4,0,18,77.77777777777777,22.22222222222222,0.0,2.3129999999999997,1.8329999999999997,2020-08-01
2020,9,PENELEC,17,0,0,17,100.0,0.0,0.0,1.672,1.537,2020-09-01
2020,10,PENELEC,21,0,0,21,100.0,0.0,0.0,2.016,1.687,2020-10-01
2020,11,PENELEC,16,3,0,19,84.21052631578948,15.789473684210526,0.0,1.9789999999999999,1.7870000000000001,2020-11-01
2020,12,PENELEC,14,2,0,16,87.5,12.5,0.0,2.399,2.116,2020-12-01
2021,1,PENELEC,21,4,0,25,84.0,16.0,0.0,2.443,2.2190000000000003,2021-01-01
2021,2,PENELEC,21,4,0,25,84.0,16.0,0.0,3.835,2.9539999999999997,2021-02-01
2021,3,PENELEC,29,0,0,29,100.0,0.0,0.0,2.325,1.964,2021-03-01
2021,4,PENELEC,28,0,0,28,100.0,0.0,0.0,2.1870000000000003,2.092,2021-04-01
2021,5,PENELEC,32,0,0,32,100.0,0.0,0.0,2.604,2.321,2021-05-01
2021,6,PENELEC,24,6,0,30,80.0,20.0,0.0,2.863,2.4010000000000002,2021-06-01
2021,7,PENELEC,20,0,0,20,100.0,0.0,0.0,3.3869999999999996,3.131,2021-07-01
2020,2,PPL,6,2,0,8,75.0,25.0,0.0,1.764,1.7100000000000002,2020-02-01
2020,3,PPL,8,7,0,15,53.333333333333336,46.666666666666664,0.0,1.592,1.5470000000000002,2020-03-01
2020,4,PPL,6,8,0,14,42.857142857142854,57.142857142857146,0.0,1.639,1.54,2020-04-01
2020,5,PPL,7,12,0,19,36.8421052631579,63.1578947368421,0.0,1.4689999999999999,1.374,2020-05-01
2020,7,PPL,6,16,0,22,27.272727272727273,72.72727272727273,0.0,2.1420000000000003,1.8719999999999999,2020-07-01
2020,8,PPL,7,10,0,17,41.1764705882353,58.8235294117647,0.0,2.1559999999999997,1.722,2020-08-01
2020,9,PPL,18,0,0,18,100.0,0.0,0.0,1.402,1.287,2020-09-01
2020,10,PPL,25,0,0,25,100.0,0.0,0.0,1.638,1.373,2020-10-01
2020,11,PPL,10,11,0,21,47.61904761904762,52.38095238095238,0.0,2.0170000000000003,1.764,2020-11-01
2020,12,PPL,10,11,0,21,47.61904761904762,52.38095238095238,0.0,2.571,2.058,2020-12-01
2021,1,PPL,14,11,0,25,56.0,44.0,0.0,2.229,2.044,2021-01-01
2021,2,PPL,14,11,0,25,56.0,44.0,0.0,3.5909999999999997,2.7920000000000003,2021-02-01
2021,3,PPL,37,0,0,37,100.0,0.0,0.0,2.1149999999999998,1.8030000000000002,2021-03-01
2021,4,PPL,34,0,0,34,100.0,0.0,0.0,2.174,1.9300000000000002,2021-04-01
2021,5,PPL,40,0,0,40,100.0,0.0,0.0,2.528,2.183,2021-05-01
2021,6,PPL,37,12,0,49,75.51020408163265,24.489795918367346,0.0,2.79,2.323,2021-06-01
2021,7,PPL,29,0,0,29,100.0,0.0,0.0,3.2520000000000002,2.9739999999999998,2021-07-01
