source,Year,Month,EDC,EGS,rate,term_months,signup_fee,early_termination_fee,green_percentage,date,PTC,comparison
WattBuy,2020,2,APS,"AP Gas & Electric (PA), LLC",5.34,6.0,0.0,0.0,0.0,2020-02-01,6.4145,Below
WattBuy,2020,2,APS,Nittany Energy LLC,5.59,6.0,0.0,0.0,0.0,2020-02-01,6.4145,Below
WattBuy,2020,2,APS,Nittany Energy LLC,5.75,6.0,0.0,0.0,0.0,2020-02-01,6.4145,Below
WattBuy,2020,2,APS,SmartEnergy,5.3,6.0,0.0,0.0,0.0,2020-02-01,6.4145,Below
WattBuy,2020,2,APS,Town Square Energy,7.380000000000001,6.0,0.0,0.0,0.0,2020-02-01,6.4145,Above
WattBuy,2020,2,APS,"Verde Energy USA, Inc.",5.390000000000001,6.0,0.0,0.0,0.0,2020-02-01,6.4145,Below
WattBuy,2020,3,APS,"AP Gas & Electric (PA), LLC",5.34,6.0,0.0,0.0,0.0,2020-03-01,5.952,Below
WattBuy,2020,3,APS,Nittany Energy LLC,5.59,6.0,0.0,0.0,0.0,2020-03-01,5.952,Below
WattBuy,2020,3,APS,Nittany Energy LLC,5.75,6.0,0.0,0.0,0.0,2020-03-01,5.952,Below
WattBuy,2020,3,APS,SmartEnergy,5.3,6.0,0.0,0.0,0.0,2020-03-01,5.952,Below
WattBuy,2020,3,APS,SmartEnergy,5.1,6.0,0.0,0.0,0.0,2020-03-01,5.952,Below
WattBuy,2020,3,APS,Titan Gas and Power,4.590000000000001,6.0,0.0,0.0,0.0,2020-03-01,5.952,Below
WattBuy,2020,3,APS,Titan Gas and Power,4.49,6.0,0.0,0.0,0.0,2020-03-01,5.952,Below
WattBuy,2020,3,APS,"Verde Energy USA, Inc.",5.390000000000001,6.0,0.0,0.0,0.0,2020-03-01,5.952,Below
WattBuy,2020,3,APS,"Verde Energy USA, Inc.",5.19,6.0,0.0,0.0,0.0,2020-03-01,5.952,Below
WattBuy,2020,4,APS,AEP Energy,4.29,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,4,APS,AEP Energy,4.390000000000001,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,4,APS,"AP Gas & Electric (PA), LLC",5.34,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,4,APS,Nittany Energy LLC,5.59,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,4,APS,Nittany Energy LLC,5.75,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,4,APS,SmartEnergy,5.1,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,4,APS,SmartEnergy,4.99,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,4,APS,Titan Gas and Power,4.49,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,4,APS,Titan Gas and Power,4.390000000000001,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,4,APS,Titan Gas and Power,4.29,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,4,APS,Titan Gas and Power,4.279999999999999,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,4,APS,"Verde Energy USA, Inc.",5.19,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,4,APS,"Verde Energy USA, Inc.",4.6899999999999995,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,4,APS,"Verde Energy USA, Inc.",4.279999999999999,6.0,0.0,0.0,0.0,2020-04-01,5.952,Below
WattBuy,2020,5,APS,AEP Energy,4.29,6.0,0.0,0.0,0.0,2020-05-01,5.952,Below
WattBuy,2020,5,APS,AEP Energy,4.390000000000001,6.0,0.0,0.0,0.0,2020-05-01,5.952,Below
WattBuy,2020,5,APS,AEP Energy,4.49,6.0,0.0,0.0,0.0,2020-05-01,5.952,Below
WattBuy,2020,5,APS,AEP Energy,4.590000000000001,6.0,0.0,0.0,0.0,2020-05-01,5.952,Below
WattBuy,2020,5,APS,"AP Gas & Electric (PA), LLC",5.34,6.0,0.0,0.0,0.0,2020-05-01,5.952,Below
WattBuy,2020,5,APS,Better Buy Energy,4.6899999999999995,6.0,0.0,0.0,0.0,2020-05-01,5.952,Below
WattBuy,2020,5,APS,Nittany Energy LLC,5.59,6.0,0.0,0.0,0.0,2020-05-01,5.952,Below
WattBuy,2020,5,APS,Nittany Energy LLC,5.75,6.0,0.0,0.0,0.0,2020-05-01,5.952,Below
WattBuy,2020,5,APS,SmartEnergy,4.99,6.0,0.0,0.0,0.0,2020-05-01,5.952,Below
WattBuy,2020,5,APS,Titan Gas and Power,4.279999999999999,6.0,0.0,0.0,0.0,2020-05-01,5.952,Below
WattBuy,2020,5,APS,"Verde Energy USA, Inc.",4.279999999999999,6.0,0.0,0.0,0.0,2020-05-01,5.952,Below
WattBuy,2020,5,APS,"Verde Energy USA, Inc.",4.5,6.0,0.0,0.0,0.0,2020-05-01,5.952,Below
WattBuy,2020,7,APS,AEP Energy,4.590000000000001,6.0,0.0,0.0,0.0,2020-07-01,5.9045,Below
WattBuy,2020,7,APS,AEP Energy,4.45,6.0,0.0,0.0,0.0,2020-07-01,5.9045,Below
WattBuy,2020,7,APS,"AP Gas & Electric (PA), LLC",5.34,6.0,0.0,0.0,0.0,2020-07-01,5.9045,Below
WattBuy,2020,7,APS,Better Buy Energy,4.6899999999999995,6.0,0.0,0.0,0.0,2020-07-01,5.9045,Below
WattBuy,2020,7,APS,Direct Energy,4.49,6.0,0.0,0.0,0.0,2020-07-01,5.9045,Below
WattBuy,2020,7,APS,Direct Energy,4.89,6.0,0.0,0.0,0.0,2020-07-01,5.9045,Below
WattBuy,2020,7,APS,Direct Energy,4.590000000000001,6.0,0.0,0.0,0.0,2020-07-01,5.9045,Below
WattBuy,2020,7,APS,Respond Power LLC,4.78,6.0,0.0,0.0,0.0,2020-07-01,5.9045,Below
WattBuy,2020,7,APS,SmartEnergy,4.8,6.0,0.0,0.0,0.0,2020-07-01,5.9045,Below
WattBuy,2020,7,APS,SmartEnergy,6.9,6.0,0.0,0.0,0.0,2020-07-01,5.9045,Above
WattBuy,2020,7,APS,Titan Gas and Power,4.279999999999999,6.0,0.0,0.0,0.0,2020-07-01,5.9045,Below
WattBuy,2020,7,APS,Titan Gas and Power,3.7900000000000005,6.0,0.0,0.0,0.0,2020-07-01,5.9045,Below
