Year,Month,EDC,Mean_Real_Markup,Real_RT_Average,Number_of_Offers
2017,8,APS,1.795333928571429,3.533,112.0
2017,8,DUQ,1.4906463235294116,3.5749,136.0
2017,8,METED,2.1326701149425284,3.1855,87.0
2017,8,PECO,1.5784448863636362,3.1659,176.0
2017,8,PENELEC,1.6187584415584417,3.3397,77.0
2017,8,PPL,1.322601694915254,3.1254,118.0
2017,9,APS,2.2505043859649114,4.0538,114.0
2017,9,DUQ,1.3637630434782608,4.0538,138.0
2017,9,METED,1.8769344444444445,3.7939,90.0
2017,9,PECO,1.5052445086705204,2.8737,173.0
2017,9,PENELEC,2.456096296296297,3.6327,81.0
2017,9,PPL,1.295829508196721,3.365,122.0
2017,10,APS,2.311381512605042,3.7247,119.0
2017,10,DUQ,1.613097887323943,3.6701,142.0
2017,10,METED,2.0060106382978726,2.8014,94.0
2017,10,PECO,1.6163649717514121,2.9964,177.0
2017,10,PENELEC,2.5560164705882356,3.4659,85.0
2017,10,PPL,1.4420063492063495,2.8833,126.0
2017,11,APS,2.029931355932203,3.7702,118.0
2017,11,DUQ,1.6218510791366905,3.6635,139.0
2017,11,METED,1.5233532608695652,3.579,92.0
2017,11,PECO,1.6427608187134506,3.3553,171.0
2017,11,PENELEC,1.6482349397590368,4.0862,83.0
2017,11,PPL,1.6326349593495937,3.2656,123.0
2017,12,APS,1.8212464912280697,4.9266,114.0
2017,12,DUQ,1.7631278260869572,4.3072,115.0
2017,12,METED,0.9043565217391304,5.7698,92.0
2017,12,PECO,1.4501377483443705,5.9104,151.0
2017,12,PENELEC,0.843821590909091,5.1205,88.0
2017,12,PPL,1.7186720720720716,5.7555,111.0
2018,1,APS,1.7249412844036698,10.1312,109.0
2018,1,DUQ,1.7509767857142862,8.4461,112.0
2018,1,METED,0.8794325842696626,11.5729,89.0
2018,1,PECO,1.534372297297297,11.3477,148.0
2018,1,PENELEC,0.9455435294117647,9.708,85.0
2018,1,PPL,1.757754629629629,11.0255,108.0
2018,2,APS,1.3872060606060612,3.3923,99.0
2018,2,DUQ,1.7640645454545452,3.3214,110.0
2018,2,METED,1.429083132530121,3.297,83.0
2018,2,PECO,1.7545812949640287,3.2081,139.0
2018,2,PENELEC,1.41609125,3.5804,80.0
2018,2,PPL,1.8529000000000007,3.1269,99.0
2018,3,APS,1.6005811881188121,4.4786,101.0
2018,3,DUQ,1.779824,4.3513,100.0
2018,3,METED,1.587316216216216,3.2317,74.0
2018,3,PECO,1.8159646017699123,3.3422,113.0
2018,3,PENELEC,1.8407942028985511,3.9143,69.0
2018,3,PPL,1.6252666666666664,3.1494,90.0
2018,4,APS,1.6908673076923082,4.6721,104.0
2018,4,DUQ,1.8243245614035077,5.1075,114.0
2018,4,METED,1.616516470588235,3.8834,85.0
2018,4,PECO,1.405860483870968,4.0742,124.0
2018,4,PENELEC,1.910488607594937,4.4493,79.0
2018,4,PPL,1.5128360000000003,3.9039,100.0
2018,5,APS,1.7083855769230774,4.5648,104.0
2018,5,DUQ,1.8491393162393155,5.9202,117.0
2018,5,METED,1.5720164705882351,2.8753,85.0
2018,5,PECO,1.6865399999999997,3.1558,130.0
2018,5,PENELEC,1.788296296296297,4.209,81.0
2018,5,PPL,1.4260514563106808,2.9263,103.0
2018,6,APS,1.364493333333333,3.8141,105.0
2018,6,DUQ,1.913155263157894,3.9388,114.0
2018,6,METED,1.3054776470588234,3.231,85.0
2018,6,PECO,1.6645304687500002,3.1928,128.0
2018,6,PENELEC,1.3467300000000002,3.6066,80.0
2018,6,PPL,1.04187572815534,3.2157,103.0
2018,7,APS,1.568586538461539,3.9907,104.0
2018,7,DUQ,2.0234275862068967,3.9997,116.0
2018,7,METED,1.5706152941176472,3.8227,85.0
2018,7,PECO,1.9440953488372095,3.8023,129.0
2018,7,PENELEC,1.6301937500000003,3.9513,80.0
2018,7,PPL,1.136076635514019,3.7247,107.0
2018,8,APS,1.6420898148148144,4.0992,108.0
2018,8,DUQ,2.0982634782608693,4.1743,115.0
2018,8,METED,1.64186511627907,4.0878,86.0
2018,8,PECO,2.175624603174603,3.9173,126.0
2018,8,PENELEC,1.6141024096385546,4.1781,83.0
2018,8,PPL,1.2322373831775706,3.9275,107.0
2018,9,APS,2.231678095238095,4.538,105.0
2018,9,DUQ,2.171699122807017,4.8188,114.0
2018,9,METED,2.0958952941176467,3.5633,85.0
2018,9,PECO,2.367468253968255,3.4769,126.0
2018,9,PENELEC,2.035943902439025,4.1415,82.0
2018,9,PPL,1.3020764150943396,3.609,106.0
2018,10,APS,2.4944999999999986,4.138,105.0
2018,10,DUQ,2.9208405405405404,4.5236,111.0
2018,10,METED,2.449004761904762,3.9578,84.0
2018,10,PECO,2.6292799999999996,3.779,125.0
2018,10,PENELEC,2.373140740740741,4.0555,81.0
2018,10,PPL,1.5837476190476185,3.7663,105.0
2018,11,APS,2.6460323809523802,4.6165,105.0
2018,11,DUQ,2.8526873873873866,4.8252,111.0
2018,11,METED,2.36147619047619,4.5235,84.0
2018,11,PECO,2.619991199999999,4.2613,125.0
2018,11,PENELEC,2.1999914634146345,4.5045,82.0
2018,11,PPL,1.8166552380952374,4.2384,105.0
2018,12,APS,1.7650161904761899,4.0899,105.0
2018,12,DUQ,3.2234073394495413,4.026,109.0
2018,12,METED,2.1110214285714286,4.178,84.0
2018,12,PECO,2.8230434426229496,3.9571,122.0
2018,12,PENELEC,2.284746341463415,4.4691,82.0
2018,12,PPL,2.0957932692307693,3.8051,104.0
2019,1,APS,1.7689466666666667,3.8425,105.0
2019,1,DUQ,3.1968064220183487,3.7265,109.0
2019,1,METED,1.986989285714286,4.1955,84.0
2019,1,PECO,2.9413709677419364,4.3026,124.0
2019,1,PENELEC,2.257007317073171,3.7227,82.0
2019,1,PPL,2.173077570093459,3.8259,107.0
