Year,Month,EDC,price,PTC,markup,CPI,inflation_factor,real_price,real_PTC,real_markup
2017,8,APS,11.07,6.638,4.432,245.519,1.306599,14.4641,8.6732,5.7908
2017,8,APS,5.8,6.638,-0.838,245.519,1.306599,7.5783,8.6732,-1.0949
2017,8,APS,6.99,6.638,0.352,245.519,1.306599,9.1331,8.6732,0.4599
2017,8,APS,9.99,6.638,3.352,245.519,1.306599,13.0529,8.6732,4.3797
2017,8,APS,10.1,6.638,3.462,245.519,1.306599,13.1967,8.6732,4.5234
2017,8,APS,7.0,6.638,0.362,245.519,1.306599,9.1462,8.6732,0.473
2017,8,APS,10.3,6.638,3.662,245.519,1.306599,13.458,8.6732,4.7848
2017,8,APS,11.5,6.638,4.862,245.519,1.306599,15.0259,8.6732,6.3527
2017,8,APS,7.19,6.638,0.552,245.519,1.306599,9.3945,8.6732,0.7212
2017,8,APS,7.79,6.638,1.152,245.519,1.306599,10.1784,8.6732,1.5052
2017,8,APS,7.69,6.638,1.052,245.519,1.306599,10.0478,8.6732,1.3745
2017,8,APS,6.79,6.638,0.152,245.519,1.306599,8.8718,8.6732,0.1986
2017,8,APS,7.39,6.638,0.752,245.519,1.306599,9.6558,8.6732,0.9826
2017,8,APS,8.49,6.638,1.852,245.519,1.306599,11.093,8.6732,2.4198
2017,8,APS,7.29,6.638,0.652,245.519,1.306599,9.5251,8.6732,0.8519
2017,8,APS,7.29,6.638,0.652,245.519,1.306599,9.5251,8.6732,0.8519
2017,8,APS,7.19,6.638,0.552,245.519,1.306599,9.3945,8.6732,0.7212
2017,8,APS,8.09,6.638,1.452,245.519,1.306599,10.5704,8.6732,1.8972
2017,8,APS,8.19,6.638,1.552,245.519,1.306599,10.701,8.6732,2.0278
2017,8,APS,8.39,6.638,1.752,245.519,1.306599,10.9624,8.6732,2.2892
2017,8,APS,11.75,6.638,5.112,245.519,1.306599,15.3525,8.6732,6.6793
2017,8,APS,9.09,6.638,2.452,245.519,1.306599,11.877,8.6732,3.2038
2017,8,APS,7.7,6.638,1.062,245.519,1.306599,10.0608,8.6732,1.3876
2017,8,APS,7.39,6.638,0.752,245.519,1.306599,9.6558,8.6732,0.9826
2017,8,APS,7.59,6.638,0.952,245.519,1.306599,9.9171,8.6732,1.2439
2017,8,APS,7.29,6.638,0.652,245.519,1.306599,9.5251,8.6732,0.8519
2017,8,APS,8.99,6.638,2.352,245.519,1.306599,11.7463,8.6732,3.0731
2017,8,APS,9.94,6.638,3.302,245.519,1.306599,12.9876,8.6732,4.3144
2017,8,APS,9.09,6.638,2.452,245.519,1.306599,11.877,8.6732,3.2038
2017,8,APS,10.34,6.638,3.702,245.519,1.306599,13.5102,8.6732,4.837
2017,8,APS,7.1,6.638,0.462,245.519,1.306599,9.2769,8.6732,0.6036
2017,8,APS,11.95,6.638,5.312,245.519,1.306599,15.6139,8.6732,6.9407
2017,8,APS,8.79,6.638,2.152,245.519,1.306599,11.485,8.6732,2.8118
2017,8,APS,9.14,6.638,2.502,245.519,1.306599,11.9423,8.6732,3.2691
2017,8,APS,8.99,6.638,2.352,245.519,1.306599,11.7463,8.6732,3.0731
2017,8,APS,8.99,6.638,2.352,245.519,1.306599,11.7463,8.6732,3.0731
2017,8,APS,5.99,6.638,-0.648,245.519,1.306599,7.8265,8.6732,-0.8467
2017,8,APS,6.79,6.638,0.152,245.519,1.306599,8.8718,8.6732,0.1986
2017,8,APS,8.99,6.638,2.352,245.519,1.306599,11.7463,8.6732,3.0731
2017,8,APS,9.99,6.638,3.352,245.519,1.306599,13.0529,8.6732,4.3797
2017,8,APS,8.99,6.638,2.352,245.519,1.306599,11.7463,8.6732,3.0731
2017,8,APS,5.99,6.638,-0.648,245.519,1.306599,7.8265,8.6732,-0.8467
2017,8,APS,6.39,6.638,-0.248,245.519,1.306599,8.3492,8.6732,-0.324
2017,8,APS,6.15,6.638,-0.488,245.519,1.306599,8.0356,8.6732,-0.6376
2017,8,APS,6.39,6.638,-0.248,245.519,1.306599,8.3492,8.6732,-0.324
2017,8,APS,9.8,6.638,3.162,245.519,1.306599,12.8047,8.6732,4.1315
2017,8,APS,5.9,6.638,-0.738,245.519,1.306599,7.7089,8.6732,-0.9643
2017,8,APS,6.49,6.638,-0.148,245.519,1.306599,8.4798,8.6732,-0.1934
2017,8,APS,9.49,6.638,2.852,245.519,1.306599,12.3996,8.6732,3.7264
2017,8,APS,9.2,6.638,2.562,245.519,1.306599,12.0207,8.6732,3.3475
2017,8,APS,5.8,6.638,-0.838,245.519,1.306599,7.5783,8.6732,-1.0949
2017,8,APS,8.4,6.638,1.762,245.519,1.306599,10.9754,8.6732,2.3022
2017,8,APS,10.0,6.638,3.362,245.519,1.306599,13.066,8.6732,4.3928
2017,8,APS,11.99,6.638,5.352,245.519,1.306599,15.6661,8.6732,6.9929
2017,8,APS,6.89,6.638,0.252,245.519,1.306599,9.0025,8.6732,0.3293
2017,8,APS,7.19,6.638,0.552,245.519,1.306599,9.3945,8.6732,0.7212
2017,8,APS,6.99,6.638,0.352,245.519,1.306599,9.1331,8.6732,0.4599
2017,8,APS,6.49,6.638,-0.148,245.519,1.306599,8.4798,8.6732,-0.1934
2017,8,APS,7.19,6.638,0.552,245.519,1.306599,9.3945,8.6732,0.7212
2017,8,APS,8.29,6.638,1.652,245.519,1.306599,10.8317,8.6732,2.1585
2017,8,APS,7.09,6.638,0.452,245.519,1.306599,9.2638,8.6732,0.5906
2017,8,APS,7.09,6.638,0.452,245.519,1.306599,9.2638,8.6732,0.5906
2017,8,APS,6.99,6.638,0.352,245.519,1.306599,9.1331,8.6732,0.4599
2017,8,APS,7.89,6.638,1.252,245.519,1.306599,10.3091,8.6732,1.6359
2017,8,APS,7.9,6.638,1.262,245.519,1.306599,10.3221,8.6732,1.6489
2017,8,APS,8.29,6.638,1.652,245.519,1.306599,10.8317,8.6732,2.1585
2017,8,APS,11.15,6.638,4.512,245.519,1.306599,14.5686,8.6732,5.8954
2017,8,APS,8.59,6.638,1.952,245.519,1.306599,11.2237,8.6732,2.5505
2017,8,APS,5.9,6.638,-0.738,245.519,1.306599,7.7089,8.6732,-0.9643
2017,8,APS,6.99,6.638,0.352,245.519,1.306599,9.1331,8.6732,0.4599
2017,8,APS,7.19,6.638,0.552,245.519,1.306599,9.3945,8.6732,0.7212
2017,8,APS,6.89,6.638,0.252,245.519,1.306599,9.0025,8.6732,0.3293
2017,8,APS,7.69,6.638,1.052,245.519,1.306599,10.0478,8.6732,1.3745
2017,8,APS,8.64,6.638,2.002,245.519,1.306599,11.289,8.6732,2.6158
2017,8,APS,8.19,6.638,1.552,245.519,1.306599,10.701,8.6732,2.0278
2017,8,APS,9.14,6.638,2.502,245.519,1.306599,11.9423,8.6732,3.2691
2017,8,APS,5.4,6.638,-1.238,245.519,1.306599,7.0556,8.6732,-1.6176
2017,8,APS,6.79,6.638,0.152,245.519,1.306599,8.8718,8.6732,0.1986
2017,8,APS,7.39,6.638,0.752,245.519,1.306599,9.6558,8.6732,0.9826
2017,8,APS,6.89,6.638,0.252,245.519,1.306599,9.0025,8.6732,0.3293
2017,8,APS,7.49,6.638,0.852,245.519,1.306599,9.7864,8.6732,1.1132
2017,8,APS,7.69,6.638,1.052,245.519,1.306599,10.0478,8.6732,1.3745
2017,8,APS,8.29,6.638,1.652,245.519,1.306599,10.8317,8.6732,2.1585
2017,8,APS,8.29,6.638,1.652,245.519,1.306599,10.8317,8.6732,2.1585
2017,8,APS,8.89,6.638,2.252,245.519,1.306599,11.6157,8.6732,2.9425
2017,8,APS,8.89,6.638,2.252,245.519,1.306599,11.6157,8.6732,2.9425
