Year,Month,EDC,Average,Median
2017,8,APS,2.704,2.403
2017,8,DUQ,2.736,2.364
2017,8,METED,2.438,2.149
2017,8,PECO,2.423,2.159
2017,8,PENELEC,2.556,2.26
2017,8,PPL,2.392,2.13
2017,9,APS,3.119,2.377
2017,9,DUQ,3.119,2.299
2017,9,METED,2.919,2.089
2017,9,PECO,2.211,2.011
2017,9,PENELEC,2.795,2.176
2017,9,PPL,2.589,2.053
2017,10,APS,2.864,2.572
2017,10,DUQ,2.822,2.564
2017,10,METED,2.154,1.956
2017,10,PECO,2.304,2.128
2017,10,PENELEC,2.665,2.427
2017,10,PPL,2.217,2.013
2017,11,APS,2.899,2.547
2017,11,DUQ,2.817,2.512
2017,11,METED,2.752,2.336
2017,11,PECO,2.58,2.326
2017,11,PENELEC,3.142,2.492
2017,11,PPL,2.511,2.312
2017,12,APS,3.786,2.799
2017,12,DUQ,3.31,2.708
2017,12,METED,4.434,2.815
2017,12,PECO,4.542,2.739
2017,12,PENELEC,3.935,2.783
2017,12,PPL,4.423,2.727
2018,1,APS,7.828,4.308
2018,1,DUQ,6.526,3.85
2018,1,METED,8.942,4.456
2018,1,PECO,8.768,4.103
2018,1,PENELEC,7.501,4.279
2018,1,PPL,8.519,4.024
2018,2,APS,2.633,2.404
2018,2,DUQ,2.578,2.372
2018,2,METED,2.559,2.278
2018,2,PECO,2.49,2.292
2018,2,PENELEC,2.779,2.381
2018,2,PPL,2.427,2.257
2018,3,APS,3.484,2.804
2018,3,DUQ,3.385,2.776
2018,3,METED,2.514,2.162
2018,3,PECO,2.6,2.242
2018,3,PENELEC,3.045,2.613
2018,3,PPL,2.45,2.105
2018,4,APS,3.649,3.196
2018,4,DUQ,3.989,3.182
2018,4,METED,3.033,2.732
2018,4,PECO,3.182,2.837
2018,4,PENELEC,3.475,3.043
2018,4,PPL,3.049,2.758
2018,5,APS,3.58,2.89
2018,5,DUQ,4.643,2.896
2018,5,METED,2.255,1.911
2018,5,PECO,2.475,2.069
2018,5,PENELEC,3.301,2.539
2018,5,PPL,2.295,1.917
2018,6,APS,2.996,2.511
2018,6,DUQ,3.094,2.49
2018,6,METED,2.538,2.078
2018,6,PECO,2.508,2.085
