Year,Month,CPI
2017,1,242.839
2017,2,243.603
2017,3,243.801
2017,4,244.524
2017,5,244.733
2017,6,244.955
2017,7,244.786
2017,8,245.519
2017,9,246.819
2017,10,246.663
2017,11,246.669
2017,12,246.524
2018,1,247.867
2018,2,248.991
2018,3,249.554
2018,4,250.546
2018,5,251.588
2018,6,251.989
2018,7,252.006
2018,8,252.146
2018,9,252.439
2018,10,252.885
2018,11,252.038
2018,12,251.233
2019,1,251.712
2019,2,252.776
2019,3,254.202
2019,4,255.548
2019,5,256.092
2019,6,256.143
2019,7,256.571
2019,8,256.558
2019,9,256.759
2019,10,257.346
2019,11,257.208
2019,12,256.974
2020,1,257.971
2020,2,258.678
2020,3,258.115
2020,4,256.389
2020,5,256.394
2020,6,257.797
2020,7,259.101
2020,8,259.918
2020,9,260.28
2020,10,260.388
2020,11,260.229
2020,12,260.474
2021,1,261.582
2021,2,263.014
2021,3,264.877
2021,4,267.054
2021,5,269.195
2021,6,271.696
2021,7,273.003
2021,8,273.567
2021,9,274.31
2021,10,276.589
2021,11,277.948
2021,12,278.802
2022,1,281.148
2022,2,283.716
2022,3,287.504
2022,4,289.109
2022,5,292.296
2022,6,296.311
2022,7,296.276
2022,8,296.171
2022,9,296.808
2022,10,298.012
2022,11,297.711
2022,12,296.797
2023,1,299.17
2023,2,300.84
2023,3,301.836
2023,4,303.363
2023,5,304.127
2023,6,305.109
2023,7,305.691
2023,8,307.026
2023,9,307.789
2023,10,307.671
2023,11,307.051
2023,12,306.746
2024,1,308.417
2024,2,310.326
2024,3,312.332
2024,4,313.548
2024,5,314.069
2024,6,314.175
2024,7,314.54
2024,8,314.796
2024,9,315.301
2024,10,315.664
2024,11,315.493
2024,12,315.605
2025,1,317.671
2025,2,319.082
2025,3,319.799
2025,4,320.795
2025,5,321.465
2025,6,322.561
2025,7,323.048
2025,8,323.976
2025,9,324.8
2025,11,324.122
2025,12,324.054
