Year,Month,EDC,PTC,DA,RT,markup_da,markup_rt,markup_rate_da,markup_rate_rt
2017,8,PECO,7.11,2.43,2.42,4.68,4.68,1.92,1.93
2017,8,PENELEC,6.19,2.61,2.56,3.58,3.64,1.37,1.42
2017,9,APS,6.29,3.05,3.12,3.24,3.17,1.06,1.02
2017,9,DUQ,7.53,3.04,3.12,4.5,4.41,1.48,1.42
2017,9,METED,6.0,2.77,2.92,3.22,3.08,1.16,1.05
2017,9,PECO,7.13,2.28,2.21,4.85,4.92,2.13,2.23
2017,9,PENELEC,5.67,2.74,2.8,2.93,2.87,1.07,1.03
2017,9,PPL,8.49,2.54,2.59,5.95,5.9,2.34,2.28
2017,10,APS,6.29,2.97,2.86,3.32,3.42,1.12,1.2
2017,10,DUQ,7.55,2.97,2.82,4.58,4.73,1.54,1.68
2017,10,METED,6.0,2.4,2.15,3.6,3.84,1.5,1.78
2017,10,PECO,7.13,2.39,2.3,4.74,4.83,1.98,2.1
2017,10,PENELEC,5.67,2.77,2.66,2.9,3.0,1.05,1.13
2017,10,PPL,8.49,2.35,2.22,6.14,6.28,2.61,2.83
2017,11,APS,6.0,3.01,2.9,2.99,3.1,0.99,1.07
2017,11,DUQ,7.55,2.96,2.82,4.59,4.74,1.55,1.68
2017,11,METED,6.41,2.72,2.75,3.69,3.65,1.36,1.33
2017,11,PECO,7.17,2.61,2.58,4.56,4.59,1.75,1.78
2017,11,PENELEC,6.32,3.06,3.14,3.26,3.18,1.06,1.01
2017,11,PPL,7.98,2.53,2.51,5.44,5.47,2.15,2.18
2017,12,APS,5.72,3.49,3.79,2.23,1.93,0.64,0.51
2017,12,DUQ,7.57,3.27,3.31,4.3,4.26,1.32,1.29
2017,12,METED,6.82,3.77,4.43,3.05,2.38,0.81,0.54
2017,12,PECO,7.22,3.72,4.54,3.49,2.67,0.94,0.59
2017,12,PENELEC,6.97,3.34,3.94,3.63,3.04,1.09,0.77
2017,12,PPL,7.46,3.71,4.42,3.76,3.04,1.01,0.69
2018,1,APS,5.72,7.3,7.83,-1.58,-2.11,-0.22,-0.27
2018,1,DUQ,7.57,6.32,6.53,1.25,1.05,0.2,0.16
2018,1,METED,6.82,8.64,8.94,-1.82,-2.13,-0.21,-0.24
2018,1,PECO,7.14,8.57,8.77,-1.43,-1.63,-0.17,-0.19
2018,1,PENELEC,6.97,6.82,7.5,0.15,-0.53,0.02,-0.07
2018,1,PPL,7.46,8.42,8.52,-0.96,-1.06,-0.11,-0.12
2018,2,APS,6.12,2.78,2.63,3.34,3.48,1.2,1.32
2018,2,DUQ,7.57,2.74,2.58,4.84,5.0,1.77,1.94
2018,2,METED,6.5,2.61,2.56,3.89,3.94,1.49,1.54
2018,2,PECO,7.16,2.57,2.49,4.59,4.67,1.79,1.87
2018,2,PENELEC,6.61,2.86,2.78,3.74,3.83,1.31,1.38
2018,2,PPL,7.46,2.45,2.43,5.01,5.04,2.04,2.07
2018,3,APS,6.08,3.4,3.48,2.68,2.6,0.79,0.75
2018,3,DUQ,7.57,3.28,3.38,4.29,4.19,1.31,1.24
2018,3,METED,6.18,2.65,2.51,3.53,3.67,1.33,1.46
2018,3,PECO,7.1,2.65,2.6,4.45,4.5,1.68,1.73
2018,3,PENELEC,6.24,3.06,3.04,3.18,3.19,1.04,1.05
2018,3,PPL,7.46,2.5,2.45,4.96,5.01,1.98,2.05
2018,4,APS,6.08,3.57,3.65,2.52,2.44,0.71,0.67
2018,4,DUQ,7.57,3.73,3.99,3.84,3.58,1.03,0.9
2018,4,METED,6.18,3.06,3.03,3.12,3.15,1.02,1.04
2018,4,PECO,7.31,3.2,3.18,4.11,4.12,1.29,1.3
2018,4,PENELEC,6.24,3.42,3.48,2.82,2.76,0.83,0.8
2018,4,PPL,7.46,3.07,3.05,4.39,4.41,1.43,1.45
2018,5,APS,6.08,3.54,3.58,2.54,2.51,0.72,0.7
2018,5,DUQ,7.52,3.78,4.64,3.73,2.88,0.99,0.62
2018,5,METED,6.18,2.46,2.26,3.72,3.93,1.51,1.74
2018,5,PECO,7.1,2.49,2.48,4.61,4.62,1.85,1.87
2018,5,PENELEC,6.24,3.2,3.3,3.04,2.94,0.95,0.89
2018,5,PPL,7.46,2.46,2.3,5.0,5.16,2.03,2.25
2018,6,APS,6.56,3.01,3.0,3.55,3.56,1.18,1.19
2018,6,DUQ,7.52,3.15,3.09,4.37,4.42,1.39,1.43
2018,6,METED,6.34,2.46,2.54,3.89,3.8,1.58,1.5
2018,6,PECO,7.15,2.51,2.51,4.64,4.64,1.85,1.85
2018,6,PENELEC,6.52,2.81,2.83,3.71,3.69,1.32,1.3
2018,6,PPL,7.45,2.43,2.53,5.01,4.92,2.06,1.95
2018,7,APS,6.56,3.28,3.14,3.28,3.42,1.0,1.09
2018,7,DUQ,7.52,3.42,3.14,4.1,4.37,1.2,1.39
2018,7,METED,6.34,3.14,3.0,3.2,3.34,1.02,1.11
2018,7,PECO,7.0,3.06,2.99,3.94,4.01,1.29,1.34
2018,7,PENELEC,6.52,3.17,3.1,3.35,3.42,1.05,1.1
2018,7,PPL,7.45,3.02,2.93,4.43,4.52,1.47,1.55
2018,8,APS,6.56,3.27,3.22,3.29,3.34,1.0,1.04
2018,8,DUQ,7.52,3.33,3.28,4.18,4.24,1.26,1.29
2018,8,METED,6.34,3.27,3.21,3.07,3.13,0.94,0.97
2018,8,PECO,6.98,3.06,3.08,3.92,3.9,1.28,1.27
2018,8,PENELEC,6.52,3.23,3.28,3.29,3.24,1.02,0.99
2018,8,PPL,7.45,3.04,3.09,4.41,4.36,1.45,1.41
2018,9,APS,5.6,3.4,3.57,2.2,2.02,0.65,0.57
2018,9,DUQ,7.52,3.69,3.79,3.83,3.72,1.04,0.98
2018,9,METED,6.07,2.77,2.8,3.3,3.26,1.19,1.16
2018,9,PECO,6.81,2.67,2.74,4.13,4.07,1.55,1.49
2018,9,PENELEC,6.32,3.21,3.26,3.1,3.06,0.97,0.94
2018,9,PPL,7.45,2.69,2.84,4.76,4.61,1.77,1.62
2018,10,APS,5.6,3.45,3.26,2.14,2.33,0.62,0.72
2018,10,DUQ,7.04,3.64,3.57,3.4,3.47,0.93,0.97
2018,10,METED,6.07,3.13,3.12,2.94,2.95,0.94,0.94
2018,10,PECO,6.81,3.08,2.98,3.73,3.83,1.21,1.28
2018,10,PENELEC,6.32,3.34,3.2,2.97,3.12,0.89,0.98
2018,10,PPL,7.45,3.14,2.97,4.3,4.48,1.37,1.51
2018,11,APS,5.6,3.78,3.63,1.82,1.97,0.48,0.54
2018,11,DUQ,7.04,3.91,3.79,3.13,3.25,0.8,0.86
2018,11,METED,6.07,3.6,3.55,2.47,2.51,0.69,0.71
2018,11,PECO,6.81,3.31,3.35,3.5,3.46,1.06,1.03
2018,11,PENELEC,6.32,3.66,3.54,2.66,2.78,0.73,0.78
2018,11,PPL,7.24,3.34,3.33,3.9,3.91,1.17,1.18
2018,12,APS,6.35,3.34,3.2,3.01,3.15,0.9,0.98
2018,12,DUQ,7.01,3.31,3.15,3.69,3.85,1.12,1.22
2018,12,METED,6.68,3.37,3.27,3.32,3.41,0.98,1.04
2018,12,PECO,6.84,3.22,3.1,3.62,3.74,1.12,1.21
2018,12,PENELEC,7.0,3.64,3.5,3.36,3.5,0.92,1.0
2018,12,PPL,7.04,3.15,2.98,3.89,4.06,1.24,1.36
2019,1,APS,6.35,3.27,3.01,3.09,3.34,0.94,1.11
2019,1,DUQ,7.01,3.15,2.92,3.86,4.08,1.23,1.4
2019,1,METED,6.68,3.39,3.29,3.29,3.39,0.97,1.03
2019,1,PECO,6.84,3.43,3.38,3.41,3.46,0.99,1.02
2019,1,PENELEC,7.0,3.3,2.92,3.7,4.08,1.12,1.4
2019,1,PPL,7.04,3.17,3.0,3.87,4.04,1.22,1.34
2020,1,APS,5.76,2.2,2.17,3.56,3.59,1.62,1.66
2020,1,DUQ,6.75,2.17,2.15,4.58,4.61,2.11,2.15
2020,1,METED,6.51,2.19,2.16,4.32,4.35,1.97,2.02
2020,1,PECO,6.74,2.11,2.1,4.63,4.64,2.19,2.21
2020,1,PENELEC,7.01,2.12,2.06,4.89,4.95,2.31,2.4
2020,1,PPL,7.63,2.01,1.95,5.62,5.68,2.8,2.91
2021,1,APS,0.2,2.52,2.47,-2.32,-2.27,-0.92,-0.92
2021,1,DUQ,0.28,2.43,2.39,-2.15,-2.11,-0.89,-0.88
2021,1,METED,0.17,2.45,2.35,-2.28,-2.18,-0.93,-0.93
2021,1,PECO,3.43,2.29,2.21,1.14,1.22,0.5,0.55
2021,1,PENELEC,0.55,2.51,2.44,-1.96,-1.89,-0.78,-0.77
2021,1,PPL,0.32,2.34,2.23,-2.02,-1.91,-0.86,-0.86
2022,1,APS,5.7,6.09,6.26,-0.39,-0.57,-0.06,-0.09
2022,1,DUQ,0.55,5.09,4.85,-4.53,-4.29,-0.89,-0.89
2022,1,METED,7.41,7.65,8.49,-0.23,-1.07,-0.03,-0.13
2022,1,PECO,3.52,6.72,8.1,-3.2,-4.57,-0.48,-0.57
2022,1,PENELEC,3.55,7.0,6.72,-3.45,-3.17,-0.49,-0.47
2022,1,PPL,8.94,6.74,7.32,2.2,1.63,0.33,0.22
2023,1,APS,0.51,3.83,3.69,-3.31,-3.18,-0.87,-0.86
2023,1,DUQ,0.71,3.65,3.54,-2.94,-2.83,-0.81,-0.8
2023,1,METED,0.3,3.68,3.65,-3.37,-3.34,-0.92,-0.92
2023,1,PECO,5.36,2.96,3.06,2.39,2.29,0.81,0.75
