Year,Month,EDC,n_offers,MeanMarkup,Variance,ShareAbovePTC,Q10,Q50,Q90
2017,8,APS,112,1.7953,3.806,0.8214,-0.4455,1.4464,4.3797
2017,8,DUQ,136,1.4906,3.0824,0.8162,-0.5662,1.25,3.543
2017,8,METED,87,2.1327,2.7096,0.9425,0.2457,1.662,4.3876
2017,8,PECO,176,1.5784,3.5673,0.7727,-0.3162,1.1537,4.1394
2017,8,PENELEC,77,1.6188,2.6556,0.8701,-0.1803,1.1603,3.6167
2017,8,PPL,118,1.3226,4.056,0.7627,-0.7617,1.0714,3.6101
2017,9,APS,114,2.2505,3.7849,0.886,-0.1722,2.0373,5.0228
2017,9,DUQ,138,1.3638,2.6538,0.8551,-0.2513,1.0095,3.1787
2017,9,METED,90,1.8769,2.5558,0.8889,-0.0234,1.6831,4.1552
2017,9,PECO,173,1.5052,3.6825,0.7861,-0.3652,1.1035,3.9238
2017,9,PENELEC,81,2.4561,2.6489,0.963,0.672,2.0497,4.4281
2017,9,PPL,122,1.2958,4.0456,0.7541,-0.8552,1.0333,3.5456
2017,10,APS,119,2.3114,3.6279,0.8992,-0.0266,2.0516,5.0194
2017,10,DUQ,142,1.6131,3.4675,0.8451,-0.1877,1.2182,4.6035
2017,10,METED,94,2.006,2.3492,0.9149,0.1209,1.9443,4.0876
2017,10,PECO,177,1.6164,3.4325,0.8136,-0.3238,1.2342,3.9263
2017,10,PENELEC,85,2.556,2.4083,0.9647,0.7634,2.3501,4.4309
2017,10,PPL,126,1.442,3.7859,0.8175,-0.4877,1.0924,3.5375
2017,11,APS,118,2.0299,3.6019,0.8475,-0.3193,1.8188,4.8008
2017,11,DUQ,139,1.6219,3.4593,0.8489,-0.0824,1.2181,4.6775
2017,11,METED,92,1.5234,2.312,0.8696,-0.266,1.3519,3.7487
2017,11,PECO,171,1.6428,3.3224,0.8187,-0.3557,1.2699,3.871
2017,11,PENELEC,83,1.6482,2.3568,0.8916,-0.0579,1.4663,3.2506
2017,11,PPL,123,1.6326,3.8077,0.8537,-0.1271,1.2514,3.7302
2017,12,APS,114,1.8212,3.6519,0.8333,-0.4704,1.73,4.5642
2017,12,DUQ,115,1.7631,3.6487,0.913,0.0347,1.1928,5.0446
2017,12,METED,92,0.9044,2.1099,0.6739,-0.8953,0.8771,2.8875
2017,12,PECO,151,1.4501,3.1361,0.8079,-0.4112,1.0072,3.8179
2017,12,PENELEC,88,0.8438,2.2155,0.6932,-0.8835,0.7066,2.4139
2017,12,PPL,111,1.7187,3.0517,0.9279,0.0774,1.3722,3.6234
2018,1,APS,109,1.7249,3.4835,0.8349,-0.4485,1.5912,4.3739
2018,1,DUQ,112,1.751,3.6484,0.9196,0.0462,1.0699,5.2114
2018,1,METED,89,0.8794,1.912,0.6629,-0.6083,0.7558,2.8628
2018,1,PECO,148,1.5344,3.1822,0.8851,-0.0712,0.9241,4.0561
2018,1,PENELEC,85,0.9455,2.0927,0.7412,-0.9137,0.9681,2.1743
2018,1,PPL,108,1.7578,2.8866,0.9352,0.1935,1.4166,3.297
2018,2,APS,99,1.3872,3.4134,0.7879,-0.573,1.1354,3.2509
2018,2,DUQ,110,1.7641,3.8993,0.9273,0.1619,1.1038,5.5744
