Year,Month,supplier,price,EDC
2017,8,AEP Energy,5.99,APS
2017,8,AEP Energy,6.15,APS
2017,8,AEP Energy,6.39,APS
2017,8,Ambit Energy,5.8,APS
2017,8,Ambit Energy,5.9,APS
2017,8,Ambit Energy,9.8,APS
2017,8,Ambit Energy,11.07,APS
2017,8,American Power & Gas of PA,6.49,APS
2017,8,American Power & Gas of PA,6.99,APS
2017,8,American Power & Gas of PA,9.2,APS
2017,8,American Power & Gas of PA,9.49,APS
2017,8,American Power & Gas of PA,9.99,APS
2017,8,American Power & Gas of PA,10.1,APS
2017,8,Cirro Energy,5.8,APS
2017,8,Cirro Energy,7.0,APS
2017,8,CleanChoice Energy,8.4,APS
2017,8,CleanChoice Energy,10.0,APS
2017,8,CleanChoice Energy,10.3,APS
2017,8,CleanChoice Energy,11.5,APS
2017,8,Community Energy,11.99,APS
2017,8,Constellation Energy,6.49,APS
2017,8,Constellation Energy,6.79,APS
2017,8,Constellation Energy,6.89,APS
2017,8,Constellation Energy,6.99,APS
2017,8,Constellation Energy,7.19,APS
2017,8,Constellation Energy,7.69,APS
2017,8,Constellation Energy,7.79,APS
2017,8,Direct Energy,6.99,APS
2017,8,Direct Energy,7.09,APS
2017,8,Direct Energy,7.19,APS
2017,8,Direct Energy,7.29,APS
2017,8,Direct Energy,7.39,APS
2017,8,Direct Energy,7.89,APS
2017,8,Direct Energy,7.9,APS
2017,8,Direct Energy,8.09,APS
2017,8,Direct Energy,8.19,APS
2017,8,Direct Energy,8.29,APS
2017,8,Direct Energy,8.39,APS
2017,8,Direct Energy,8.49,APS
2017,8,Energy Rewards,8.59,APS
2017,8,Energy Rewards,9.09,APS
2017,8,Energy Rewards,11.15,APS
2017,8,Energy Rewards,11.75,APS
2017,8,Green Mountain Energy Company,5.9,APS
2017,8,Green Mountain Energy Company,7.7,APS
2017,8,IGS Energy,6.89,APS
2017,8,IGS Energy,6.99,APS
2017,8,IGS Energy,7.19,APS
2017,8,IGS Energy,7.29,APS
2017,8,IGS Energy,7.39,APS
2017,8,IGS Energy,7.59,APS
